skill,score,digital_assign,mod,lv.mod,ht_df,order
Adobe Systems Adobe AfterEffects,61.95331161157089,1,Business and management,Design & marketing skills,Non-High-tech skills,1
Adobe Systems Adobe Audition,109.7773526053489,1,Business and management,Design & marketing skills,Non-High-tech skills,1
Adobe Systems Adobe Captivate,80.1269358221849,1,Business and management,Design & marketing skills,Non-High-tech skills,1
Adobe Systems Adobe Connect,127.80505124929255,1,Business and management,Workforce digital skills,Non-High-tech skills,1
Adobe Systems Adobe Contribute,165.36813290663622,1,General office,Workforce digital skills,Non-High-tech skills,1
Adobe Systems Adobe Creative Cloud,96.34893219614423,1,Business and management,Design & marketing skills,Non-High-tech skills,1
Adobe Systems Adobe Creative Suite,100.97284320778105,1,Business and management,Design & marketing skills,Non-High-tech skills,1
Adobe Systems Adobe Distiller,88.472508452566,1,General office,Workforce digital skills,Non-High-tech skills,1
Adobe Systems Adobe InCopy,154.2253997923236,1,Business and management,Design & marketing skills,Non-High-tech skills,1
Adobe Systems Adobe InDesign,105.92488851235557,1,Business and management,Design & marketing skills,Non-High-tech skills,1
Adobe Systems Adobe PageMaker,102.59848798978287,1,General office,Workforce digital skills,Non-High-tech skills,1
Adobe Systems Adobe Photoshop,96.1251862227797,1,Business and management,Design & marketing skills,Non-High-tech skills,1
Adobe Systems Adobe Photoshop Lightroom,77.50165570270835,1,Business and management,Design & marketing skills,Non-High-tech skills,1
Adobe Systems Adobe Presenter,121.2723819647785,1,Business and management,Workforce digital skills,Non-High-tech skills,1
Adobe Systems Adobe Reader,133.99102041845333,1,General office,Workforce digital skills,Non-High-tech skills,1
Adobe Systems Adobe Writer,135.82192973669697,1,General office,Workforce digital skills,Non-High-tech skills,1
Adobe Systems Adobe eLearning Suite,3.38931297709924,1,Business and management,Workforce digital skills,Non-High-tech skills,1
Advanced product quality planning (APQP),125.75762617256268,0,Business and management,Non-digital High-tech skills,Non-High-tech skills,1
Advocacy Skills,200.28988179748328,0,Business and management,Non-digital High-tech skills,Non-High-tech skills,1
Aerators,360.77169877061857,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Aerial bucket trucks,370.7251796118154,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Aerial lift trucks,303.8736266481621,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Aerial lifts,352.67428345871537,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Aerial manlifts,327.18819936071276,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Aerial trucks,422.00629248523524,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Agar plates,54.39369493283685,1,Trades,Workforce digital skills,Non-High-tech skills,1
Agency Master,101.59262254633458,1,General office,Workforce digital skills,Non-High-tech skills,1
Agency management software,68.67930959776491,1,Business and management,Workforce digital skills,Non-High-tech skills,1
Air Handling systems,207.27716650847537,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Air brake hoses,134.134506212386,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Air carts,356.0855620079163,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Air cleaners,286.8571314605698,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Air compressors,354.2088461563052,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Air conditioning systems,196.63530115411882,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Air conditioning units,237.219554716396,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Air cooling systems,192.98485515722146,0,Business and management,Non-digital High-tech skills,Non-High-tech skills,1
Air flow sensors,27.6678043230944,1,Sales and merchandising,Industrial modelling & geospatial skills,Non-High-tech skills,1
Air gauges,275.52372927960516,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Air grinders,351.3784897118486,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Air guns,414.281253207346,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Air heaters,294.4164414569277,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Air horns,128.73674474691424,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Air knives,264.4704774001825,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Air monitoring equipment,141.49790257074508,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Air purifying respirators,231.11159815638317,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Air quality,216.40047067552717,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Air ratchets,325.6663342237686,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Air samplers,140.09539935217344,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Air sanders,344.8602675322623,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Air scrubbers,274.56043661826106,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Air seeders,399.977342608431,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Air staple guns,281.7366423864002,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Air tanks,198.7089931721939,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Airless paint guns,370.395352232583,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Airless spray equipment,475.0090370136643,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Airline global distribution systems GDS software,43.63330231676785,1,Sales and merchandising,Workforce digital skills,Non-High-tech skills,1
Alarm system software,111.04956847830991,1,General office,Workforce digital skills,Non-High-tech skills,1
Alarm systems,183.76218449396544,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Aligners,229.455755163785,0,Business and management,Non-digital High-tech skills,Non-High-tech skills,1
Alignment machines,218.17085230586295,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Alignment tools,176.01314510088793,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
All terrain vehicles ATV,234.69612910769237,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
All-terrain cranes,282.09307849254634,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
All-terrain vehicles ATV,328.6441595534446,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Allen Bradley PanelView,80.25600458854397,1,Trades,Industrial modelling & geospatial skills,Non-High-tech skills,1
Allen wrenches,344.86491752514695,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Allscripts,132.0797246011238,1,Business and management,Workforce digital skills,Non-High-tech skills,1
Allscripts Sunrise Clinical Manager,190.5398630356114,1,General office,Workforce digital skills,Non-High-tech skills,1
Aluminum ladders,365.60063566076155,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Amazing Charts,20.1241501625776,1,General office,Workforce digital skills,Non-High-tech skills,1
Ameresco software,207.86019033529294,1,Trades,Workforce digital skills,Non-High-tech skills,1
American Sign Language (ASL),233.09787756928023,0,Communication and interaction,Non-digital High-tech skills,Non-High-tech skills,1
Ammeters,87.83115701332629,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Amp meters,122.81209382459349,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Analytic balances,184.10643347745156,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Analytical Skills,135.98525136201806,0,Business and management,Non-digital High-tech skills,Non-High-tech skills,1
Analytical balances,119.23703222119852,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Anatomical models,104.01850505923721,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Anchor chains,299.3287687951382,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Anchor winches,383.9035532313631,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Anechoic chambers,163.60954387907245,0,General office,Non-digital High-tech skills,Non-High-tech skills,1
Anesthesia carts,325.25511944699736,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Anesthesia machines,188.8103732054118,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Angle finders,285.04266108348844,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Animal Shelter Manager,108.408557894248,1,Business and management,Workforce digital skills,Non-High-tech skills,1
Animal crates,394.812191302348,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Animal restraints,174.65781396167,0,Communication and interaction,Non-digital High-tech skills,Non-High-tech skills,1
Animal traps,441.7520117218964,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Annealing furnaces,207.406332371201,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Announcement systems,127.67846798265998,0,General office,Non-digital High-tech skills,Non-High-tech skills,1
Annunciators,208.4936776807572,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Anti-Money Laundering,125.94227754189413,0,Business and management,Non-digital High-tech skills,Non-High-tech skills,1
Anvils,284.9483059425254,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Apollo Reservation System,59.164527622210834,1,Sales and merchandising,Workforce digital skills,Non-High-tech skills,1
Apple Final Cut Pro,64.63381995407339,1,Business and management,Design & marketing skills,Non-High-tech skills,1
Apple Pages,107.46183310024811,1,Business and management,Design & marketing skills,Non-High-tech skills,1
Apple iMovie,83.18193518620124,1,Communication and interaction,Design & marketing skills,Non-High-tech skills,1
Apple iWork,166.51546532393465,1,General office,Workforce digital skills,Non-High-tech skills,1
Appliance dollies,417.143041209218,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Applicant tracking software,189.6083121256736,1,General office,Workforce digital skills,Non-High-tech skills,1
Application management software,160.17690934484008,1,General office,Workforce digital skills,Non-High-tech skills,1
Appointment scheduling software,194.50301243284002,1,General office,Workforce digital skills,Non-High-tech skills,1
Arabic language,207.4413390359209,0,Communication and interaction,Non-digital High-tech skills,Non-High-tech skills,1
Arbor presses,208.5824707819898,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Arborist saws,460.393224948663,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Arbors,358.1759823464426,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Arc welding equipment,370.78090803174064,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Archival databases,128.9656176780041,1,Communication and interaction,Design & marketing skills,Non-High-tech skills,1
Armored cars,381.3544029424952,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Arrow boards,152.96847315068047,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Articulate Storyline,86.86490716717084,1,Business and management,Design & marketing skills,Non-High-tech skills,1
Articulators,286.5265233590594,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Asphalt kettles,454.88928703092,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Asphalt pavers,411.8031377125072,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Asphalt saws,427.718322721084,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Asphalt spreaders,372.32834024878787,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Assessment software,139.6393831270265,1,Business and management,Industrial modelling & geospatial skills,Non-High-tech skills,1
Asset Management,127.20489565792298,0,Business and management,Non-digital High-tech skills,Non-High-tech skills,1
Asset allocation software,108.268000187419,1,Business and management,Software/product dev & data skills,Non-High-tech skills,1
Asset management software,123.12720715663193,1,Business and management,Workforce digital skills,Non-High-tech skills,1
AtTask,135.409994191981,1,Business and management,Design & marketing skills,Non-High-tech skills,1
Athey loaders,417.143041209218,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Atlas Search,324.78197842913085,1,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Atmospheric testing equipment,330.303798562092,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Atomic absorption spectrometers,85.9443685524207,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Atomic layer deposition ALD systems,221.3497068782905,0,Business and management,Non-digital High-tech skills,Non-High-tech skills,1
Attendance tracking software,136.78449969689248,1,General office,Workforce digital skills,Non-High-tech skills,1
Attention to Detail,229.86003297694018,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Audacity,145.8508931920674,1,Communication and interaction,Design & marketing skills,Non-High-tech skills,1
Audiometers,180.26545852110124,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Audit management software,104.0013593450589,1,Business and management,Cybersecurity & systems infrastructure skills,Non-High-tech skills,1
Auditing,150.7159913059218,0,Business and management,Non-digital High-tech skills,Non-High-tech skills,1
Auditing software,146.80627052777461,1,General office,Industrial modelling & geospatial skills,Non-High-tech skills,1
Augers,342.42530136022503,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Augmentative communication systems,166.08840438797156,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Author-it,135.409994191981,1,Business and management,Design & marketing skills,Non-High-tech skills,1
Auto scrubbers,381.3165533560223,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Autoclaves,192.70544550407612,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Autodesk Architectural Desktop,95.2116724565203,1,General office,Industrial modelling & geospatial skills,Non-High-tech skills,1
Autodesk Architectural Studio,168.88810349631885,1,General office,Industrial modelling & geospatial skills,Non-High-tech skills,1
Autodesk AutoCAD,90.2351712640928,1,General office,Industrial modelling & geospatial skills,Non-High-tech skills,1
Autodesk AutoCAD Civil 3D,84.63696224151855,1,General office,Industrial modelling & geospatial skills,Non-High-tech skills,1
Autodesk AutoCAD LT,105.69614016232113,1,General office,Industrial modelling & geospatial skills,Non-High-tech skills,1
Autodesk AutoCAD Land Desktop,51.5841523301358,1,General office,Industrial modelling & geospatial skills,Non-High-tech skills,1
Autodesk AutoCAD Mechanical,70.02582418394888,1,General office,Industrial modelling & geospatial skills,Non-High-tech skills,1
Autodesk Buzzsaw,97.29256454046198,1,Business and management,Workforce digital skills,Non-High-tech skills,1
Autodesk Combustion,207.41268620404733,1,Trades,Workforce digital skills,Non-High-tech skills,1
Autodesk ECOTECT,306.376375252848,1,Business and management,Industrial modelling & geospatial skills,Non-High-tech skills,1
Autodesk Fusion 360,170.7742337820181,1,Trades,Industrial modelling & geospatial skills,Non-High-tech skills,1
Autodesk HSMWorks,139.82530548010828,1,Trades,Industrial modelling & geospatial skills,Non-High-tech skills,1
Autodesk Inventor,67.56419284290571,1,General office,Industrial modelling & geospatial skills,Non-High-tech skills,1
Autodesk Land Desktop,89.3332881287192,1,Business and management,Industrial modelling & geospatial skills,Non-High-tech skills,1
Autodesk PowerMill,203.28884580541,1,Trades,Industrial modelling & geospatial skills,Non-High-tech skills,1
Autodesk Revit,70.1925359282663,1,General office,Industrial modelling & geospatial skills,Non-High-tech skills,1
Autodesk Revit Architecture,71.20577424866063,1,General office,Industrial modelling & geospatial skills,Non-High-tech skills,1
Autodesk SketchBook Pro,250.85559606085982,1,Business and management,Design & marketing skills,Non-High-tech skills,1
Autodesk Softdesk,205.0521305558072,1,General office,Industrial modelling & geospatial skills,Non-High-tech skills,1
Autodesk Topobase,52.23608526315363,1,Trades,Industrial modelling & geospatial skills,Non-High-tech skills,1
Automated circulation systems,152.47488813842415,1,Sales and merchandising,Cybersecurity & systems infrastructure skills,Non-High-tech skills,1
Automated external defibrillators AED,161.74505352293795,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Automated filing systems,207.19282146391419,0,General office,Non-digital High-tech skills,Non-High-tech skills,1
Automated lathes,282.36787400978835,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Automated locks,182.505645219869,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Automated mail processing equipment,181.612241585386,0,General office,Non-digital High-tech skills,Non-High-tech skills,1
Automated payroll software,189.13268801965606,1,General office,Workforce digital skills,Non-High-tech skills,1
Automated timekeeping software,186.184805887702,1,General office,Workforce digital skills,Non-High-tech skills,1
Automatic control systems,135.68276255001572,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Automatic fish feeders,114.985325818767,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Automatic lathes,216.19632997235146,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Automatic taping tools,462.461315105828,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Automatic teller machines ATMs,106.51366702555435,0,General office,Non-digital High-tech skills,Non-High-tech skills,1
Automatic titrators,70.9523789025007,1,Trades,Workforce digital skills,Non-High-tech skills,1
Automatic tool changers,260.19742573921275,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Automation Studio,92.17983896938934,1,Business and management,Workforce digital skills,Non-High-tech skills,1
Autorefractors,113.912691464023,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Avid Pro Tools,58.89042234133818,1,Business and management,Design & marketing skills,Non-High-tech skills,1
Avid Technology,121.25010720294016,1,Sales and merchandising,Software/product dev & data skills,Non-High-tech skills,1
Aztec,307.84814245242444,1,Sales and merchandising,Workforce digital skills,Non-High-tech skills,1
BOMA BEST,170.30833439934176,0,Business and management,Non-digital High-tech skills,Non-High-tech skills,1
BPS Compliance,165.5710537748884,1,General office,Workforce digital skills,Non-High-tech skills,1
BREEAM,83.36635393384596,0,Business and management,Non-digital High-tech skills,Non-High-tech skills,1
Baby bottles,463.25959923235683,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Back braces,271.07987577213976,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Backhoe attachments,359.2493169717489,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Backhoes,336.03519370612344,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Backpack vacuums,443.240818627075,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Backwash filters,339.89115897527677,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Bagging machines,337.76929131141,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Bake ovens,146.76132608640646,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Baking equipment,349.48003427404325,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Baking sheets,375.07291285004044,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Balance scales,269.27322861299166,0,Communication and interaction,Non-digital High-tech skills,Non-High-tech skills,1
Balancing machines,215.33232923985236,0,Communication and interaction,Non-digital High-tech skills,Non-High-tech skills,1
Baling equipment,336.600886428535,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Balkan frames,198.276774354962,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Ball valves,218.0050636362111,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Ballistic vests,182.2122235783038,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Band cutters,313.30561316051177,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Band saws,325.07029011523014,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Banding machines,311.4603694489039,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Bar cutters,435.60853680766456,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Bar feeders,320.493185567929,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Bar levels,156.3788745516839,0,Business and management,Non-digital High-tech skills,Non-High-tech skills,1
Barber scissors,423.222491128378,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Barcode software,320.86540364788067,1,Sales and merchandising,Workforce digital skills,Non-High-tech skills,1
Bargaining Power,116.49521612442196,1,Business and management,Workforce digital skills,Non-High-tech skills,1
Barometers,122.75011953763034,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Barrier gates,197.6939630108232,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Base radios,120.65395465676875,0,Business and management,Non-digital High-tech skills,Non-High-tech skills,1
Baseballs,317.73121750551246,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Basic Life Support,206.47511905735198,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Basketballs,147.91693511288867,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Bass drums,161.16347947717483,0,Business and management,Non-digital High-tech skills,Non-High-tech skills,1
Bath robes,439.83069632513946,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Battery analyzers,31.7330803479176,1,Trades,Workforce digital skills,Non-High-tech skills,1
Battery chargers,125.99768210600992,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Battery testers,226.42348751900397,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Beakers,320.3061934670543,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Beam saws,52.8882491949899,1,Business and management,Workforce digital skills,Non-High-tech skills,1
Beaters,365.2896916129042,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Bed cradles,179.10008836703793,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Belt loaders,179.55622171653394,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Belt scales,54.9593152716093,1,Trades,Industrial modelling & geospatial skills,Non-High-tech skills,1
Bench drills,27.6678043230944,1,Trades,Software/product dev & data skills,Non-High-tech skills,1
Bench grinders,326.41317537039134,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Bench lathes,31.7330803479176,1,Trades,Cybersecurity & systems infrastructure skills,Non-High-tech skills,1
Bending brakes,390.85351803868394,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Bentley InRoads Suite,92.18043358114637,1,General office,Industrial modelling & geospatial skills,Non-High-tech skills,1
Bentley MicroStation,78.76721409070585,1,General office,Industrial modelling & geospatial skills,Non-High-tech skills,1
Bentley Navigator,74.8253893373068,1,Communication and interaction,Industrial modelling & geospatial skills,Non-High-tech skills,1
Bentley OpenRoads Designer,136.61212846037543,1,General office,Industrial modelling & geospatial skills,Non-High-tech skills,1
Bentley ProjectWise,70.41914024415061,1,General office,Industrial modelling & geospatial skills,Non-High-tech skills,1
Bentley WaterCAD,135.409994191981,1,Business and management,Industrial modelling & geospatial skills,Non-High-tech skills,1
Beveling machines,419.9138353500694,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Beverage machines,333.69945990262784,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Bilimeters,197.88600414992504,0,Communication and interaction,Non-digital High-tech skills,Non-High-tech skills,1
Bilingual,201.76279183544,0,Communication and interaction,Non-digital High-tech skills,Non-High-tech skills,1
Billing software,166.19888284576956,1,General office,Workforce digital skills,Non-High-tech skills,1
Binding machines,199.38023972101624,0,General office,Non-digital High-tech skills,Non-High-tech skills,1
Binoculars,174.52206351050864,0,Communication and interaction,Non-digital High-tech skills,Non-High-tech skills,1
Biofilters,236.5811693461432,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Biohazard containers,312.72510354176507,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Biomicroscopes,113.912691464023,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Biopsy forceps,332.263730201769,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Bioreactor Design,59.34334407443249,1,Business and management,Industrial modelling & geospatial skills,Non-High-tech skills,1
Biotechnology,110.9860281365981,1,Business and management,Cybersecurity & systems infrastructure skills,Non-High-tech skills,1
Bite blocks,305.0495168646508,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Bitts,170.3821607515904,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Blackbaud CRM,110.36565379200276,1,Business and management,Workforce digital skills,Non-High-tech skills,1
Blackboard,137.0516783240064,1,Business and management,Workforce digital skills,Non-High-tech skills,1
Blackboard Collaborate,115.46311688785187,1,Business and management,Workforce digital skills,Non-High-tech skills,1
Blackboard Learn,164.04828992945485,1,Business and management,Workforce digital skills,Non-High-tech skills,1
Blackjack tables,443.240818627075,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Bladder pumps,135.409994191981,0,Business and management,Non-digital High-tech skills,Non-High-tech skills,1
Bladder scanners,192.39370642282861,0,Business and management,Non-digital High-tech skills,Non-High-tech skills,1
Blanking presses,247.024530664078,0,Business and management,Non-digital High-tech skills,Non-High-tech skills,1
Blast freezers,307.0202185937066,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Block weights,481.2352694277463,0,General office,Non-digital High-tech skills,Non-High-tech skills,1
Blocks and tackle,74.30675671541633,1,Trades,Workforce digital skills,Non-High-tech skills,1
Blogger,141.9325227595756,1,Business and management,Design & marketing skills,Non-High-tech skills,1
