skill,lv.mod,fg.mod,coordinate,groupName,subGroupName,count,m,IM_geo.dum
Apache Pig,2,3,1110,Technologies,Data base management system software,81,28.072934344906525,0
Apache Solr,2,3,1194,Technologies,Data base management system software,192,19.794447373668163,0
Apache Spark,2,3,1176,Technologies,Object or component oriented development software,1497,24.639391152359124,0
Apache Sqoop,2,3,1169,Technologies,Data base management system software,50,13.501464316225507,0
Apache Struts,2,3,1215,Technologies,Web platform development software,58,11.553972460518349,0
Apache Subversion,2,3,1313,Technologies,File versioning software,31,38.65058172601978,0
Apache Subversion SVN,2,3,1507,Technologies,File versioning software,3,153.47212029303,0
Apache Tomcat,2,3,1127,Technologies,Web platform development software,1689,17.56918549410214,0
Apache Webserver,2,3,1267,Technologies,Portal server software,67,17.11994421851165,0
Apollo Reservation System,1,1,384,Technologies,Calendar and scheduling software,19,59.164527622210834,0
Apple Final Cut Pro,5,4,2098,Technologies,Video creation and editing software,22,64.63381995407339,0
Apple Final Cut Pro X,5,4,2111,Technologies,Video creation and editing software,2,NA,0
Apple Mac OS X,3,3,1668,Technologies,Operating system software,3743,84.09559381884294,0
Apple Macintosh OS,3,3,1789,Technologies,Operating system software,3,22.4290401739588,0
Apple Pages,5,4,2069,Technologies,Word processing software,40,107.46183310024811,0
Apple Safari,2,3,1484,Technologies,Internet browser software,9,47.39620671539316,0
Apple iMovie,5,4,2109,Technologies,Video creation and editing software,13,83.18193518620124,0
Apple iWork,1,1,394,Technologies,Office suite software,4,166.51546532393465,0
Apple macOS,3,3,1847,Technologies,Operating system software,502,24.6724349942254,0
Applicant tracking software,1,1,77,Technologies,Human resources software,310,189.6083121256736,0
Application management software,1,1,259,Technologies,Configuration management software,92,160.17690934484008,0
Application server software,2,3,1452,Technologies,Application server software,45,22.30091309757402,0
Application servers,2,3,1129,Technologies,Operating system software,2980,29.043698633243167,0
Appointment scheduling software,1,1,346,Technologies,Calendar and scheduling software,177,194.50301243284002,0
Appraisal software,4,2,916,Technologies,Financial analysis software,85,163.7018906908073,1
Arbitrary waveform generators,2,3,1467,Tools and Equipment,Miscellaneous or unclassified,6,14.638726232274966,0
Architectural templates,2,3,1213,Tools and Equipment,Miscellaneous or unclassified,57,24.549544514604975,0
Archival databases,5,4,2077,Technologies,Information retrieval or search software,32,128.9656176780041,0
Archon,1,3,1009,Technologies,Data base user interface and query software,32,83.91566523460544,0
Articulate Storyline,5,4,1968,Technologies,Computer based training software,1131,86.86490716717084,0
Articulated robots,4,2,974,Tools and Equipment,Miscellaneous or unclassified,19,49.53147537193245,1
Artificial Intelligence (AI),2,3,1078,Technologies,Artificial Intelligence,73065,103.08104822594191,0
Artificial intelligence software,2,3,1574,Technologies,Industrial control software,1534,73.98216605013107,0
Assembla,2,3,1391,Technologies,Project management software,10,17.129481696764014,0
Assessment software,4,2,851,Technologies,Analytical or scientific software,280,139.6393831270265,1
Asset allocation software,2,3,1633,Technologies,Financial analysis software,1,108.268000187419,0
Asset management software,1,2,752,Technologies,Inventory management software,1084,123.12720715663193,0
AtTask,5,4,2102,Technologies,Project management software,3,135.409994191981,0
Atlassian Bamboo,2,3,1287,Technologies,Enterprise application integration software,48,4.93838813857898,0
Atlassian Confluence,2,3,1301,Technologies,Project management software,10796,64.84404636834671,0
Atlassian HipChat,2,3,1612,Technologies,Instant messaging software,9,NA,0
Atlassian JIRA,2,3,1061,Technologies,Content workflow software,47485,56.410839512406824,0
Attendance tracking software,1,1,584,Technologies,Data base user interface and query software,9,136.78449969689248,0
Audacity,5,4,1972,Technologies,Music or sound editing software,1003,145.8508931920674,0
AudienceView Ticketing,5,4,2024,Technologies,Customer relationship management CRM software,20,95.99868557984527,0
Audio amplifiers,3,3,1845,Tools and Equipment,Miscellaneous or unclassified,10,48.8766141961718,0
Audio editing software,5,4,2006,Technologies,Music or sound editing software,193,71.09108630817785,0
Audio interfaces,2,3,1523,Tools and Equipment,Miscellaneous or unclassified,23,50.89203432501,0
Audio recorders,5,4,2001,Tools and Equipment,Miscellaneous or unclassified,58,63.42436056469725,0
Audit management software,3,1,660,Technologies,Financial analysis software,61,104.0013593450589,0
Auditing software,4,2,846,Technologies,Financial analysis software,318,146.80627052777461,1
Augmented Reality,5,4,2127,Technologies,Graphics or photo imaging software,1362,114.02954737744743,0
Author-it,5,4,2142,Technologies,Data base user interface and query software,4,135.409994191981,0
Autodesk 3ds Max,5,4,1950,Technologies,Video creation and editing software,2792,68.45391652010066,0
Autodesk Architectural Desktop,4,1,706,Technologies,Computer aided design CAD software,34,95.2116724565203,1
Autodesk Architectural Studio,4,1,711,Technologies,Computer aided design CAD software,52,168.88810349631885,1
Autodesk AutoCAD,4,1,676,Technologies,Computer aided design CAD software,35760,90.2351712640928,1
Autodesk AutoCAD Civil 3D,4,1,683,Technologies,Computer aided design CAD software,5193,84.63696224151855,1
Autodesk AutoCAD LT,4,1,704,Technologies,Computer aided design CAD software,156,105.69614016232113,1
Autodesk AutoCAD Land Desktop,4,1,715,Technologies,Computer aided design CAD software,3,51.5841523301358,1
Autodesk AutoCAD MAP3D,4,2,939,Technologies,Computer aided design CAD software,32,46.459729519627004,1
Autodesk AutoCAD Mechanical,4,1,684,Technologies,Computer aided design CAD software,61,70.02582418394888,1
Autodesk Buzzsaw,1,1,545,Technologies,Data base user interface and query software,15,97.29256454046198,0
Autodesk Combustion,1,1,74,Technologies,Graphics or photo imaging software,3733,207.41268620404733,0
Autodesk ECOTECT,4,1,723,Technologies,Analytical or scientific software,4,306.376375252848,1
Autodesk Fusion 360,4,4,1937,Technologies,Computer aided manufacturing CAM software,201,170.7742337820181,1
Autodesk HSMWorks,4,2,964,Technologies,Industrial control software,4,139.82530548010828,1
Autodesk Inventor,4,1,690,Technologies,Computer aided design CAD software,1015,67.56419284290571,1
Autodesk Land Desktop,4,1,714,Technologies,Computer aided design CAD software,39,89.3332881287192,1
Autodesk MapGuide,4,2,885,Technologies,Web platform development software,31,44.35713648994434,1
Autodesk Maya,5,4,1981,Technologies,Graphics or photo imaging software,814,48.83849100432255,0
Autodesk MotionBuilder,5,4,1986,Technologies,Video creation and editing software,574,91.39049309110058,0
Autodesk Mudbox,5,4,1961,Technologies,Graphics or photo imaging software,718,91.57007990000737,0
Autodesk PowerMill,4,4,1939,Technologies,Computer aided manufacturing CAM software,3,203.28884580541,1
Autodesk Revit,4,1,677,Technologies,Computer aided design CAD software,13359,70.1925359282663,1
Autodesk Revit Architecture,4,4,1921,Technologies,Computer aided design CAD software,90,71.20577424866063,1
Autodesk Scaleform,2,3,1377,Technologies,Development environment software,14,7.74948434277142,0
Autodesk SketchBook Pro,5,4,2070,Technologies,Graphics or photo imaging software,12,250.85559606085982,0
Autodesk Smoke,5,4,2144,Technologies,Video creation and editing software,1,NA,0
Autodesk SoftImage,5,4,2088,Technologies,Graphics or photo imaging software,39,118.17557847563779,0
Autodesk Softdesk,4,2,973,Technologies,Computer aided design CAD software,11,205.0521305558072,1
Autodesk Topobase,4,2,857,Technologies,Data base user interface and query software,22,52.23608526315363,1
Autodesk VIZ,2,3,1316,Technologies,Computer aided design CAD software,485,237.77492864385374,0
Automated circulation systems,3,1,667,Technologies,Library software,42,152.47488813842415,0
Automated material handling software,2,3,1522,Technologies,Analytical or scientific software,4,13.794003352184134,0
Automated payroll software,1,1,412,Technologies,Time accounting software,27,189.13268801965606,0
Automated systems software,3,3,1808,Technologies,Industrial control software,27,86.0529865963171,0
Automated timekeeping software,1,1,639,Technologies,Time accounting software,1,186.184805887702,0
Automatic titrators,1,1,364,Tools and Equipment,Miscellaneous or unclassified,18,70.9523789025007,0
Automation,2,3,1647,Occupational Skills,Manufacturing,1777,100.2959856015614,0
Automation Studio,1,4,1892,Technologies,Analytical or scientific software,230,92.17983896938934,0
Autopilot systems,4,2,892,Tools and Equipment,Miscellaneous or unclassified,41,45.61365188350422,1
Autotask,3,3,1723,Technologies,Enterprise resource planning ERP software,220,65.63157925691907,0
Avid Media Composer,5,4,2000,Technologies,Video creation and editing software,422,110.39187285479969,0
Avid Pro Tools,5,4,2095,Technologies,Music or sound editing software,30,58.89042234133818,0
Avid Technology,2,3,1403,Technologies,Video creation and editing software,27,121.25010720294016,0
Aztec,1,1,9,Technologies,Analytical or scientific software,284,307.84814245242444,0
BMC PATROL,3,3,1794,Technologies,Network monitoring software,25,10.79325387277437,0
BPS Compliance,1,1,552,Technologies,Compliance software,11,165.5710537748884,0
BSDL (Boundary scan description language),2,3,1315,Technologies,Development environment software,4,NA,0
BWA,2,3,1485,Technologies,Analytical or scientific software,39,107.1266447829621,0
Backup servers,3,3,1719,Technologies,Backup or archival software,311,40.038678934328274,0
Barcode printers,3,5,2149,Tools and Equipment,Miscellaneous or unclassified,67,69.65419811319282,0
Barcode software,1,1,619,Technologies,Bar coding software,8,320.86540364788067,0
Bargaining Power,1,4,1897,Technologies,Human resources software,8,116.49521612442196,0
Base station radios,3,1,674,Tools and Equipment,Miscellaneous or unclassified,4,33.29659366366333,0
Bash,2,3,1575,Technologies,Operating system software,3618,28.138890835987592,0
Battery analyzers,1,1,281,Tools and Equipment,Miscellaneous or unclassified,32,31.7330803479176,0
Beam saws,1,2,757,Tools and Equipment,Miscellaneous or unclassified,4,52.8882491949899,0
Behavior-Driven Development (BDD),2,3,1145,Occupational Skills,Software and web development,3308,69.593073185381,0
Belt scales,4,2,938,Tools and Equipment,Miscellaneous or unclassified,12,54.9593152716093,1
Bench drills,2,3,1415,Tools and Equipment,Miscellaneous or unclassified,5,27.6678043230944,0
Bench lathes,3,3,1811,Tools and Equipment,Miscellaneous or unclassified,5,31.7330803479176,0
Bentley AutoPLANT,4,2,875,Technologies,Computer aided design CAD software,22,32.68689916396895,1
Bentley InRoads Suite,4,1,695,Technologies,Computer aided design CAD software,157,92.18043358114637,1
Bentley MicroStation,4,1,682,Technologies,Computer aided design CAD software,3911,78.76721409070585,1
Bentley Navigator,4,1,709,Technologies,Computer aided design CAD software,16,74.8253893373068,1
Bentley OpenRoads Designer,4,1,737,Technologies,Computer aided design CAD software,119,136.61212846037543,1
Bentley ProjectWise,4,1,702,Technologies,Project management software,74,70.41914024415061,1
Bentley WaterCAD,4,1,735,Technologies,Computer aided design CAD software,2,135.409994191981,1
Big Data,2,3,1128,Technologies,Big Data,21380,48.23822165853296,0
Billing software,1,1,196,Technologies,Accounting software,1771,166.19888284576956,0
Bioconductor,2,3,1478,Technologies,Analytical or scientific software,44,82.22659783782147,0
Bioinformatics databases,2,3,1491,Technologies,Data base user interface and query software,16,65.24084113677917,0
Bioreactor Design,4,2,943,Technologies,Computer aided design CAD software,31,59.34334407443249,1
Biostatistical software,4,2,929,Technologies,Analytical or scientific software,4,88.6270702677514,1
Biotechnology,3,3,1867,Occupational Skills,Manufacturing,104,110.9860281365981,0
BlackBerry Enterprise Server,3,3,1665,Technologies,Operating system software,89,17.0458002105396,0
Blackbaud CRM,1,1,203,Technologies,Customer relationship management CRM software,197,110.36565379200276,0
Blackboard,1,1,223,Technologies,Data base user interface and query software,2004,137.0516783240064,0
Blackboard Collaborate,1,1,235,Technologies,Computer based training software,136,115.46311688785187,0
Blackboard Learn,1,1,284,Technologies,Computer based training software,96,164.04828992945485,0
Block diagram software,4,4,1940,Technologies,Pattern design software,1,NA,1
Blockchain,2,3,1578,Technologies,Storage networking software,2537,95.988498932685,0
Blocks and tackle,1,1,307,Tools and Equipment,Miscellaneous or unclassified,16,74.30675671541633,0
Blogger,5,4,1976,Technologies,Web page creation and editing software,397,141.9325227595756,0
Blogging software,5,4,2054,Technologies,Web page creation and editing software,39,97.53984739161817,0
Blood collection tubes,1,1,633,Tools and Equipment,Miscellaneous or unclassified,3,25.6494733747416,0
Bloomberg,2,3,1164,Technologies,Financial analysis software,10898,211.90287401247184,0
Bookkeeping software,1,1,155,Technologies,Accounting software,1517,157.3709143831611,0
Border Gateway Protocol BGP,3,3,1806,Technologies,Switch or router software,16,5.38461538461538,0
Bourne Shell,2,3,1432,Technologies,Operating system software,25,30.595462343513233,0
Bowtie,2,3,1231,Technologies,Analytical or scientific software,57,123.13624854778956,0
Brainworks,5,4,2015,Technologies,Enterprise resource planning ERP software,61,138.04538032444475,0
Bridge design software,1,1,594,Technologies,Computer aided design CAD software,1,135.409994191981,0
BrightEdge,5,4,2028,Technologies,Business intelligence and data analysis software,110,103.50495079496801,0
Brightcove,5,4,1985,Technologies,Web page creation and editing software,90,175.3072410228774,0
Brokerage software,1,1,276,Technologies,Procurement software,86,117.93009935332672,0
Budget monitoring systems,1,1,300,Technologies,Financial analysis software,37,153.92554167661572,0
Budgeting software,1,1,107,Technologies,Accounting software,266,124.5773333771044,0
Bugzilla,2,3,1075,Technologies,Program testing software,273,57.94866777112321,0
Building Automation Systems (BAS),1,1,644,Occupational Skills,Facilities maintenance and design,74,228.02211868239613,0
Building Information Modeling (BIM),4,1,680,Occupational Skills,Facilities maintenance and design,2807,75.65015362775485,1
Building automation software,1,1,370,Technologies,Industrial control software,54,232.6599600296298,0
Building management system software,4,1,730,Technologies,Facilities management software,10,39.35018632935787,1
Bullhorn,2,3,1245,Technologies,Human resources software,1253,103.09905948778692,0
Bullhorn Applicant Tracking System,1,1,560,Technologies,Human resources software,6,211.080115161749,0
Business Analysis,2,3,1054,Occupational Skills,Business analysis,66657,58.01383642724831,0
Business Objects Data Integrator,2,3,1553,Technologies,Development environment software,6,56.9487764921378,0
Business Systems Analysis,2,3,1049,Occupational Skills,Business analysis,24840,35.29912153432024,0
Business accounting software,1,1,308,Technologies,Accounting software,62,150.67808548783552,0
Business analysis software,2,3,1418,Technologies,Analytical or scientific software,67,47.68142241634199,0
Business continuity software,2,3,1492,Technologies,Enterprise resource planning ERP software,24,23.012620613483843,0
Business intelligence software,2,3,1192,Technologies,Business intelligence and data analysis software,927,81.4497934489854,0
Business management software,1,1,146,Technologies,Data base user interface and query software,913,130.8150292621503,0
Business performance management BPM software,2,3,1185,Technologies,Enterprise resource planning ERP software,87,31.07514517433535,0
Business process management BPM software,2,3,1292,Technologies,Enterprise resource planning ERP software,246,39.989895205514856,0
Business software applications,1,1,82,Technologies,Office suite software,815,130.46840641186978,0
C shell,2,3,1141,Technologies,Operating system software,85,64.91173192549941,0
C#,2,3,1022,Technologies,Object or component oriented development software,27740,20.79492940863762,0
C++,2,3,1023,Technologies,Object or component oriented development software,25042,30.47377614014289,0
CA Clarity PPM,2,3,1539,Technologies,Enterprise resource planning ERP software,18,59.220302989032454,0
CA Easytrieve Report Generator,2,3,1602,Technologies,Manufacturing execution system MES software,18,13.642981358331962,0
CA Erwin Data Modeler,2,3,1435,Technologies,Metadata management software,6,14.833840182047705,0
CA SiteMinder,2,3,1474,Technologies,Network security or virtual private network VPN management software,46,143.68298155558736,0
CADNX,4,2,829,Technologies,Computer aided design CAD software,358,68.18421419909663,1
CAML (Collaborative Application Markup Language),2,3,1396,Technologies,Object or component oriented development software,35,162.06144562601366,0
CATIA,4,1,692,Technologies,Computer aided design CAD software,3956,88.48168192156406,1
CATIA V5,4,1,691,Technologies,Computer aided design CAD software,1767,82.00874228841141,1
CCH ProSystem fx TAX,1,1,588,Technologies,Tax preparation software,1,NA,0
CCP4,2,3,1639,Technologies,Analytical or scientific software,1,NA,0
CG / Computer Graphics,5,4,2128,Technologies,Graphics or photo imaging software,2015,108.01826025247178,0
CMAKE,2,3,1240,Technologies,Development environment software,149,11.63402430420545,0
CNC Mastercam,4,2,886,Technologies,Computer aided manufacturing CAM software,89,95.15482207574095,1
CNC Software Mastercam,4,2,930,Technologies,Computer aided manufacturing CAM software,45,120.25551340435604,1
COBIT,3,3,1683,Occupational Skills,IT infrastructure and cybersecurity,3777,73.01991970840064,0
COBOL (Common business oriented language),2,3,1223,Technologies,Development environment software,1643,24.609764710231886,0
CODESYS,4,2,990,Technologies,Industrial control software,22,44.4045619244258,1
COMSOL Multiphysics,4,3,1876,Technologies,Analytical or scientific software,10,124.6272264323415,1
CRM Modeling,2,3,1546,Occupational Skills,Customer service,1,32.0006309894704,0
