skill,score,digital_assign
Aerial lift trucks,303.8736266481621,0
Aerial lifts,352.67428345871537,0
Aerial manlifts,327.18819936071276,0
Aerial trucks,422.00629248523524,0
Agar plates,54.39369493283685,1
Agency Master,101.59262254633458,1
Agency management software,68.67930959776491,1
Agile Software Development,47.17983328657611,1
Agilent ChemStation,68.46399820318628,1
Air Handling systems,207.27716650847537,0
Air brake hoses,134.134506212386,0
Air carts,356.0855620079163,0
Air cleaners,286.8571314605698,0
Air compressors,354.2088461563052,0
Air conditioning systems,196.63530115411882,0
Air conditioning units,237.219554716396,0
Air cooling systems,192.98485515722146,0
Air flow sensors,27.6678043230944,1
Air gauges,275.52372927960516,0
Air grinders,351.3784897118486,0
Air guns,414.281253207346,0
Air heaters,294.4164414569277,0
Air horns,128.73674474691424,0
Air knives,264.4704774001825,0
Air monitoring equipment,141.49790257074508,0
Air purifying respirators,231.11159815638317,0
Air quality,216.40047067552717,0
Air ratchets,325.6663342237686,0
Air samplers,140.09539935217344,0
Air sanders,344.8602675322623,0
Air scrubbers,274.56043661826106,0
Air seeders,399.977342608431,0
Air staple guns,281.7366423864002,0
Air tanks,198.7089931721939,0
Airless paint guns,370.395352232583,0
Airless spray equipment,475.0090370136643,0
Airline global distribution systems GDS software,43.63330231676785,1
Airport surveillance radar ASR systems,91.32020247197731,0
Alarm system software,111.04956847830991,1
Alarm systems,183.76218449396544,0
Aligners,229.455755163785,0
Alignment machines,218.17085230586295,0
Alignment tools,176.01314510088793,0
All terrain vehicles ATV,234.69612910769237,0
All-terrain cranes,282.09307849254634,0
All-terrain vehicles ATV,328.6441595534446,0
Allen Bradley PanelView,80.25600458854397,1
Allen wrenches,344.86491752514695,0
Allscripts,132.0797246011238,1
Allscripts Sunrise Clinical Manager,190.5398630356114,1
Altimeters,248.34392877433442,0
Altium Designer,21.866589215552974,1
Aluminum ladders,365.60063566076155,0
Amazing Charts,20.1241501625776,1
Amazon Data Pipeline,14.71656878937478,1
Amazon DynamoDB,55.31286278381613,1
Amazon Kinesis,35.60295294236769,1
Amazon Machine Learning,15.7202010050251,1
Amazon Web Services (AWS),43.98006630417717,1
Ameresco software,207.86019033529294,1
American Sign Language (ASL),233.09787756928023,0
Ammeters,87.83115701332629,0
Amp meters,122.81209382459349,0
Analysis and building software,110.77329508331215,1
Analytic balances,184.10643347745156,0
Analytical Skills,135.98525136201806,0
Analytical balances,119.23703222119852,0
Analytical software,78.60359313858697,1
Analyz,132.29565568126253,1
Anatomical models,104.01850505923721,0
Anchor chains,299.3287687951382,0
Anchor winches,383.9035532313631,0
Android,62.77616135242585,1
Anechoic chambers,163.60954387907245,0
Anesthesia carts,325.25511944699736,0
Anesthesia machines,188.8103732054118,0
Angle finders,285.04266108348844,0
Angoss KnowledgeSEEKER,108.268000187419,1
AngularJS,12.92989170313346,1
Animal Shelter Manager,108.408557894248,1
Animal crates,394.812191302348,0
Animal restraints,174.65781396167,0
Animal traps,441.7520117218964,0
Animation,115.6329256852408,1
Animation software,23.320957707080087,1
Annealing furnaces,207.406332371201,0
Announcement systems,127.67846798265998,0
Annunciators,208.4936776807572,0
Ansible software,20.98572171436567,1
Antenna analyzers,13.6076977962485,1
AnthillPro,3.38931297709924,1
Anti-Money Laundering,125.94227754189413,0
Anti-spyware software,56.8371322838768,1
Antivirus software,80.99821509172703,1
Anvils,284.9483059425254,0
Apache Ant,26.752303705353118,1
Apache Avro,34.51880748424529,1
Apache Cassandra,13.28499455105614,1
Apache Flume,15.7202010050251,1
Apache Groovy,7.463856541790671,1
Apache Gump,135.409994191981,1
Apache HTTP Server,9.986772511826947,1
Apache Hadoop,29.342441927840216,1
Apache Hbase,13.871002247968452,1
Apache Hive,19.49026103435255,1
Apache Jmeter,22.043115542432027,1
Apache Kafka,21.607770700458687,1
Apache Mahout,23.86041599724775,1
Apache MapReduce,25.561914318795406,1
Apache Maven,20.042346602970877,1
Apache Oozie,15.75705663286412,1
Apache Pig,28.072934344906525,1
Apache Solr,19.794447373668163,1
Apache Spark,24.639391152359124,1
Apache Sqoop,13.501464316225507,1
Apache Struts,11.553972460518349,1
Apache Subversion,38.65058172601978,1
Apache Subversion SVN,153.47212029303,1
Apache Tomcat,17.56918549410214,1
Apache Webserver,17.11994421851165,1
Apollo Reservation System,59.164527622210834,1
Apple Final Cut Pro,64.63381995407339,1
Apple Mac OS X,84.09559381884294,1
Apple Macintosh OS,22.4290401739588,1
Apple Pages,107.46183310024811,1
Apple Safari,47.39620671539316,1
Apple iMovie,83.18193518620124,1
Apple iWork,166.51546532393465,1
Apple macOS,24.6724349942254,1
Appliance dollies,417.143041209218,0
Applicant tracking software,189.6083121256736,1
Application management software,160.17690934484008,1
Application server software,22.30091309757402,1
Application servers,29.043698633243167,1
Appointment scheduling software,194.50301243284002,1
Appraisal software,163.7018906908073,1
Arabic language,207.4413390359209,0
Arbitrary waveform generators,14.638726232274966,1
Arbor presses,208.5824707819898,0
Arborist saws,460.393224948663,0
Arbors,358.1759823464426,0
Arc welding equipment,370.78090803174064,0
Architectural templates,24.549544514604975,1
Archival databases,128.9656176780041,1
Archon,83.91566523460544,1
Armored cars,381.3544029424952,0
Arrow boards,152.96847315068047,0
Articulate Storyline,86.86490716717084,1
Articulated robots,49.53147537193245,1
Articulators,286.5265233590594,0
Artificial Intelligence (AI),103.08104822594191,1
Artificial intelligence software,73.98216605013107,1
Asphalt kettles,454.88928703092,0
Asphalt pavers,411.8031377125072,0
Asphalt saws,427.718322721084,0
Asphalt spreaders,372.32834024878787,0
Assembla,17.129481696764014,1
Assessment software,139.6393831270265,1
Asset Management,127.20489565792298,0
Asset allocation software,108.268000187419,1
Asset management software,123.12720715663193,1
AtTask,135.409994191981,1
Athey loaders,417.143041209218,0
Atlas Search,324.78197842913085,1
Atlassian Bamboo,4.93838813857898,1
Atlassian Confluence,64.84404636834671,1
Atlassian JIRA,56.410839512406824,1
Atmospheric testing equipment,330.303798562092,0
Atomic absorption spectrometers,85.9443685524207,0
Atomic layer deposition ALD systems,221.3497068782905,0
Attendance tracking software,136.78449969689248,1
Attention to Detail,229.86003297694018,0
Audacity,145.8508931920674,1
AudienceView Ticketing,95.99868557984527,1
Audio amplifiers,48.8766141961718,1
Audio editing software,71.09108630817785,1
Audio interfaces,50.89203432501,1
Audio recorders,63.42436056469725,1
Audio speakers,130.86585991961678,0
Audiometers,180.26545852110124,0
Audit management software,104.0013593450589,1
Auditing,150.7159913059218,0
Auditing software,146.80627052777461,1
Augers,342.42530136022503,0
Augmentative communication systems,166.08840438797156,0
Augmented Reality,114.02954737744743,1
Author-it,135.409994191981,1
Auto scrubbers,381.3165533560223,0
Autoclaves,192.70544550407612,0
Autodesk 3ds Max,68.45391652010066,1
Autodesk Architectural Desktop,95.2116724565203,1
Autodesk Architectural Studio,168.88810349631885,1
Autodesk AutoCAD,90.2351712640928,1
Autodesk AutoCAD Civil 3D,84.63696224151855,1
Autodesk AutoCAD LT,105.69614016232113,1
Autodesk AutoCAD Land Desktop,51.5841523301358,1
Autodesk AutoCAD MAP3D,46.459729519627004,1
Autodesk AutoCAD Mechanical,70.02582418394888,1
Autodesk Buzzsaw,97.29256454046198,1
Autodesk Combustion,207.41268620404733,1
Autodesk ECOTECT,306.376375252848,1
Autodesk Fusion 360,170.7742337820181,1
Autodesk HSMWorks,139.82530548010828,1
Autodesk Inventor,67.56419284290571,1
Autodesk Land Desktop,89.3332881287192,1
Autodesk MapGuide,44.35713648994434,1
Autodesk Maya,48.83849100432255,1
Autodesk MotionBuilder,91.39049309110058,1
Autodesk Mudbox,91.57007990000737,1
Autodesk PowerMill,203.28884580541,1
Autodesk Revit,70.1925359282663,1
Autodesk Revit Architecture,71.20577424866063,1
Autodesk Scaleform,7.74948434277142,1
Autodesk SketchBook Pro,250.85559606085982,1
Autodesk SoftImage,118.17557847563779,1
Autodesk Softdesk,205.0521305558072,1
Autodesk Topobase,52.23608526315363,1
Autodesk VIZ,237.77492864385374,1
Automated circulation systems,152.47488813842415,1
Automated external defibrillators AED,161.74505352293795,0
Automated filing systems,207.19282146391419,0
Automated lathes,282.36787400978835,0
Automated locks,182.505645219869,0
Automated mail processing equipment,181.612241585386,0
Automated material handling software,13.794003352184134,1
Automated payroll software,189.13268801965606,1
Automated systems software,86.0529865963171,1
Automated timekeeping software,186.184805887702,1
Automatic control systems,135.68276255001572,0
Automatic fish feeders,114.985325818767,0
Automatic lathes,216.19632997235146,0
Automatic taping tools,462.461315105828,0
Automatic teller machines ATMs,106.51366702555435,0
Automatic titrators,70.9523789025007,1
Automatic tool changers,260.19742573921275,0
Automation,100.2959856015614,1
Automation Studio,92.17983896938934,1
Autopilot systems,45.61365188350422,1
Autorefractors,113.912691464023,0
Autotask,65.63157925691907,1
Avid Media Composer,110.39187285479969,1
Avid Pro Tools,58.89042234133818,1
Avid Technology,121.25010720294016,1
Aztec,307.84814245242444,1
BMC PATROL,10.79325387277437,1
BOMA BEST,170.30833439934176,0
BPS Compliance,165.5710537748884,1
BREEAM,83.36635393384596,0
BWA,107.1266447829621,1
Baby bottles,463.25959923235683,0
Back braces,271.07987577213976,0
Backhoe attachments,359.2493169717489,0
Backhoes,336.03519370612344,0
Backpack vacuums,443.240818627075,0
Backup servers,40.038678934328274,1
Backwash filters,339.89115897527677,0
Bagging machines,337.76929131141,0
Bake ovens,146.76132608640646,0
Baking equipment,349.48003427404325,0
Baking sheets,375.07291285004044,0
Balance scales,269.27322861299166,0
Balancing machines,215.33232923985236,0
Baling equipment,336.600886428535,0
Balkan frames,198.276774354962,0
Ball valves,218.0050636362111,0
Ballistic vests,182.2122235783038,0
Band cutters,313.30561316051177,0
Band saws,325.07029011523014,0
Banding machines,311.4603694489039,0
Bar code readers,129.8446949640243,0
Bar cutters,435.60853680766456,0
Bar feeders,320.493185567929,0
Bar levels,156.3788745516839,0
Barber scissors,423.222491128378,0
Barcode printers,69.65419811319282,1
Barcode software,320.86540364788067,1
Bargaining Power,116.49521612442196,1
Barometers,122.75011953763034,0
Barrier gates,197.6939630108232,0
Base radios,120.65395465676875,0
Base station radios,33.29659366366333,1
Baseballs,317.73121750551246,0
Bash,28.138890835987592,1
Basic Life Support,206.47511905735198,0
Basketball hoops,185.5254324383833,0
Basketballs,147.91693511288867,0
Bass drums,161.16347947717483,0
Bath robes,439.83069632513946,0
Battery analyzers,31.7330803479176,1
Battery chargers,125.99768210600992,0
Battery testers,226.42348751900397,0
Beakers,320.3061934670543,0
Beam saws,52.8882491949899,1
Beaters,365.2896916129042,0
Bed cradles,179.10008836703793,0
Behavior-Driven Development (BDD),69.593073185381,1
Belt loaders,179.55622171653394,0
Belt scales,54.9593152716093,1
Bench drills,27.6678043230944,1
Bench grinders,326.41317537039134,0
Bench lathes,31.7330803479176,1
Bending brakes,390.85351803868394,0
Bentley AutoPLANT,32.68689916396895,1
Bentley InRoads Suite,92.18043358114637,1
Bentley MicroStation,78.76721409070585,1
Bentley Navigator,74.8253893373068,1
Bentley OpenRoads Designer,136.61212846037543,1
Bentley ProjectWise,70.41914024415061,1
Bentley WaterCAD,135.409994191981,1
Beveling machines,419.9138353500694,0
Beverage machines,333.69945990262784,0
Big Data,48.23822165853296,1
Bilimeters,197.88600414992504,0
Bilingual,201.76279183544,0
Billing software,166.19888284576956,1
Binding machines,199.38023972101624,0
Binoculars,174.52206351050864,0
Bioconductor,82.22659783782147,1
Biofilters,236.5811693461432,0
Biohazard containers,312.72510354176507,0
Bioinformatics databases,65.24084113677917,1
Biomicroscopes,113.912691464023,0
Biopsy forceps,332.263730201769,0
Bioreactor Design,59.34334407443249,1
Biostatistical software,88.6270702677514,1
Biotechnology,110.9860281365981,1
Bite blocks,305.0495168646508,0
Bitts,170.3821607515904,0
BlackBerry Enterprise Server,17.0458002105396,1
Blackbaud CRM,110.36565379200276,1
Blackboard,137.0516783240064,1
Blackboard Collaborate,115.46311688785187,1
Blackboard Learn,164.04828992945485,1
Blackjack tables,443.240818627075,0
Bladder pumps,135.409994191981,0
Bladder scanners,192.39370642282861,0
Blanking presses,247.024530664078,0
Blast freezers,307.0202185937066,0
Block weights,481.2352694277463,0
Blockchain,95.988498932685,1
Blocks and tackle,74.30675671541633,1
Blogger,141.9325227595756,1
Blogging software,97.53984739161817,1
Blood collection tubes,25.6494733747416,1
Blood gas analyzers,207.0090408376644,0
Blood gas machines,222.17400090205584,0
Blood glucose monitors,210.08190658295626,0
Blood irradiators,197.8849904859856,0
Blood pressure cuffs,228.91726375183072,0
Blood pressure monitors,154.14113146748977,0
Blood tubes,97.5371369068896,0
Bloomberg,211.90287401247184,1
Blow dryers,419.2990635260821,0
Blow molding machines,332.4188122439976,0
Blown film extruders,339.56883325176403,0
Blueprint Reading,287.00339676672985,0
Boat trailers,301.1749029301413,0
Bobbins,416.97738267830067,0
Bobcats,394.27550125120587,0
Body armor,141.26099692165369,0
Body harnesses,309.289002184403,0
Body lotions,174.567175962041,0
Boilers,293.741583511949,0
Bolsters,227.2809641663454,0
Bolt action rifles,161.852069357129,0
Bolt cutters,292.51200157484357,0
Bookkeeping software,157.3709143831611,1
Bookmobiles,255.729213540597,0
Boom boats,207.406332371201,0
Boom lifts,310.3774283771558,0
Boom trucks,328.14383165811074,0
Border Gateway Protocol BGP,5.38461538461538,1
Bore gauges,228.09913962014164,0
Boring heads,203.28884580541,0
Boring machines,226.875425411116,0
Boring mills,230.25888415290274,0
Bourne Shell,30.595462343513233,1
Bowling balls,382.0274886887733,0
Bowtie,123.13624854778956,1
Box blades,188.75406926772445,0
Boxing gloves,332.360068340421,0
Bracing equipment,341.94302984927265,0
Braiders,444.88302952519336,0
Braille materials,95.0850970860898,0
Brainworks,138.04538032444475,1
Brake presses,327.5400224163968,0
Branding equipment,337.359236391611,0
Brazers,430.5927853750576,0
Braziers,456.146250800077,0
Brazing equipment,181.50869208927725,0
Brazing machines,429.4889140548237,0
Brazing tools,351.50718655123455,0
Brazing torches,316.895902341414,0
Bread slicers,295.4140661094296,0
Breast pumps,198.3166089902227,0
Breath alcohol testers,180.54338127586954,0
Breathalyzers,217.3600197910669,0
Brick ovens,347.71671351055886,0
Brick splitters,452.554362480555,0
Bridge cranes,301.0690363540108,0
Bridge design software,135.409994191981,1
Bridge plates,344.212029562176,0
BrightEdge,103.50495079496801,1
Brightcove,175.3072410228774,1
Broaches,281.46752714321764,0
Broaching machines,203.94863561670482,0
Brokerage software,117.93009935332672,1
Bronchoscopes,212.3373726671235,0
Brush chippers,373.9789092609041,0
Brush cutters,319.0204939356238,0
Brush cutting equipment,318.73220217227697,0
Brush mowers,306.376375252848,0
Brush trimmers,424.80581837874354,0
Bucket attachments,436.287360970677,0
Bucket lifts,134.334829608066,0
Bucket loaders,333.13159427060435,0
Bucket machines,207.406332371201,0
Bucket trucks,266.0894517646027,0
Budget monitoring systems,153.92554167661572,1
Budgeting,161.38403833438514,0
Budgeting software,124.5773333771044,1
Buffing machines,431.53695948643195,0
Buffing wheels,318.2099257270331,0
Bugzilla,57.94866777112321,1
Building Automation Systems (BAS),228.02211868239613,1
Building Information Modeling (BIM),75.65015362775485,1
Building alarm systems,189.61284576923808,0
Building automation software,232.6599600296298,1
Building management system software,39.35018632935787,1
Bulk carriers,255.25841340418364,0
Bull floats,322.5798499369249,0
Bull pins,443.99809852044746,0
Bullhorn,103.09905948778692,1
Bullhorn Applicant Tracking System,211.080115161749,1
Bunker rakes,386.9468740715079,0
Buoyancy control devices,169.717826065506,0
Burner management systems,248.0809763385231,0
Burs,292.58074730813365,0
Business Analysis,58.01383642724831,1
Business Development,144.18555743890983,0
Business Intelligence,179.39776103294736,0
Business Objects Data Integrator,56.9487764921378,1
Business Planning,134.7707426824461,0
Business Process,79.9505410829168,0
Business Strategy,123.85776028237872,0
Business Systems Analysis,35.29912153432024,1
Business Valuation,99.06099073447176,0
Business accounting software,150.67808548783552,1
Business analysis software,47.68142241634199,1
Business continuity software,23.012620613483843,1
Business intelligence software,81.4497934489854,1
Business management software,130.8150292621503,1
Business performance management BPM software,31.07514517433535,1
Business process management BPM software,39.989895205514856,1
Business software applications,130.46840641186978,1
Business-to-Business (B2B),159.66259086228445,0
Business-to-Consumer (B2C),134.40895730716784,0
Butterfly needles,157.4521713479158,0
Button machines,382.46266212185446,0
Buttonhole makers,454.600690081245,0
C shell,64.91173192549941,1
C#,20.79492940863762,1
C++,30.47377614014289,1
CA Clarity PPM,59.220302989032454,1
CA Easytrieve Report Generator,13.642981358331962,1
CA Erwin Data Modeler,14.833840182047705,1
CA SiteMinder,143.68298155558736,1
CADNX,68.18421419909663,1
CAML (Collaborative Application Markup Language),162.06144562601366,1
CATIA,88.48168192156406,1
CATIA V5,82.00874228841141,1
CG / Computer Graphics,108.01826025247178,1
CMAKE,11.63402430420545,1
CNC Machining,232.65771380143102,0
CNC Mastercam,95.15482207574095,1
CNC Software Mastercam,120.25551340435604,1
CO2 monitors,252.5664588380498,0
COBIT,73.01991970840064,1
COBOL (Common business oriented language),24.609764710231886,1
CODESYS,44.4045619244258,1
COMSOL Multiphysics,124.6272264323415,1
COSO,89.45206510729975,0
CPR,277.59844817550953,0
CRM Modeling,32.0006309894704,1
CSA National and Multilateral Instruments,151.3695024400384,0
CST Microwave Studio,12.485549132948,1
Cabin management systems,122.13798617019938,0
Cable crimpers,339.08343194600076,0
Cable cutters,173.15405675124407,0
Cable plows,389.5424462086261,0
Cable reels,169.31552790953918,0
Cable strippers,265.1086043943008,0
Cable testers,61.084361090119025,1
Cable trees,336.1995606194585,0
Cable winches,350.46476293814703,0
Cadence Allegro PCB Designer,84.7704955745783,1
Cadence OrCAD,18.69292036631922,1
Cake decorating tools,387.1691857205111,0
Cake rings,395.79611015107196,0
Calendar and scheduling software,155.9527692401028,1
Calendar management software,163.93673605784488,1
Calendar software,160.92208673869985,1
Calibration software,92.67840230008044,1
Calipers,263.72362626653023,0
Call center software,125.87320385093321,1
Call recording systems,95.65343148827989,0
Call tracking software,92.74565742902435,1
Call-processing language CPL,198.49625699120378,1
Camcorders,208.32260854200706,0
Camera control units,36.239361563952336,1
Camera lenses,280.6410091811096,0
Campaign Monitor,115.95472445685499,1
Can openers,382.8620272867021,0
Candidate tracking software,150.65472608529518,1
Canners,364.7279364406779,0
Cannulas,193.75773026328042,0
Cantonese language,223.6456395202622,0
Capacity planning,96.58820674520358,0
Capacity planning software,126.44694853544853,1
Cappers,287.3146172014865,0
Cappuccino machines,326.0537032086887,0
Car hoists,133.997196755789,0
Carabiners,285.59540583940554,0
Carbon analyzers,82.7355064793345,0
Carbon dioxide systems,428.417156477295,0
Carbon monoxide detectors,220.62105387362277,0
Card readers,160.27095366063955,0
Cardboard compactors,198.92734743535584,0
Cardiac monitoring equipment,198.276774354962,0
Cardiac monitors,198.02663846494988,0
Cardiac ultrasound equipment,225.52184155690742,0
Career Cruising,136.33404476547312,1
Career Zone,107.69751570623724,1
Cargo dollies,309.5610291753597,0
Cargo hooks,174.567175962041,0
Cargo trailers,292.79706785361986,0
Cargo trucks,333.8504356707045,0
Carlson Survey,30.1322551523291,1
Carousels,239.89746694468442,0
Carpet shampooers,421.01071344084994,0
Carpet steamers,443.240818627075,0
Cartography,85.16357687662972,0
Carving tools,425.0114767813352,0
Cascading Style Sheets (CSS),77.60217617663882,1
Case clamps,348.323787956529,0
Case management software,152.9527361507192,1
Case management system software,179.1798924701509,1
CaseWare Working Papers,131.47698110030203,1
Cash drawers,249.1979909588124,0
Cash flow software,183.163607554797,1
Cash handling,290.03500065792593,0
Cash registers,288.14003259764195,0
Cast cutters,427.718322721084,0
Catalytic converters,235.21771548240258,0
Caterpillar Command,37.07524611202475,1
Catheters,199.57133795254546,0
Caulk boots,318.8132435487714,0
Cell counters,138.00882923256685,0
Cell savers,231.81805544091154,0
Cell sorters,142.781534509694,0
Cellos,347.8493080662108,0
Cement pumps,231.49707631572466,0
Cenon,461.576260728474,1
Centrifugal compressors,165.51525037492945,0
Centrifugal pumps,315.7922720609213,0
Centrifuges,172.19663066241054,0
Ceridian,173.84548996138233,1
Cerner Millennium,120.31716851427663,1
Cerner PowerChart,200.32155362547195,1
Cerner ProFile,108.22487222852743,1
Chain conveyors,277.5950444169809,0
Chain falls,268.41208090509906,0
Chain hoists,268.29965432259945,0
Chain pullers,279.92686171212034,0
Chain saws,374.32376565267,0
Chain slings,306.3833594078643,0
Chainsaws,368.03993145644284,0
Chair lifts,315.2280617716565,0
Chalk lines,415.20261702485277,0
Change Management,114.60151695161348,0
Channel banks,10.1902037748455,1
Channel lock pliers,365.5561159821489,0
Character Studio,56.360519139211924,1
Charbroilers,326.2556731742568,0
Charting software,278.91238592675177,1
Chat software,125.04898492502774,1
Check Point Next Generation Firewalls (NGFW),31.272573122807096,1
Check Point Next Generation Secure Web Gateway,3.38931297709924,1
Check signers,154.431942843998,0
Cheese vats,364.652424550695,0
Chemical analyzers,303.9582475857773,0
Chemical baths,405.53090290621066,0
Chemical dip tanks,423.47355862247434,0
Chemical feed pumps,268.6775322045416,0
Chemical fume hoods,332.72461158182625,0
Chemical injection pumps,184.37350581828582,0
Chemical injection systems,189.31314478438097,0
Chemical mechanical polishing CMP systems,230.0754830626559,0
Chemical protective clothing,125.1173609610647,0
Chemical reactors,171.80338909486477,0
Chemical sprayers,280.5316060517483,0
Chemical vapor deposition CVD systems,81.61670418910188,0
Chemistry analyzers,121.48185727334032,0
Cherry pickers,329.5790604979861,0
Chest tubes,195.72562666213983,0
Childcare,363.59471113248094,0
Chinese language,200.97027662452436,0
Chinois,183.2821724634597,0
Chip design software,21.408035396566795,1
Chipper trucks,424.20727256013686,0
Chippers,408.52139507103954,0
Chipping equipment,404.7738425106861,0
Chipping guns,344.1655772387507,0
Chipping hammers,318.16530158678097,0
ChiroTouch,174.567175962041,1
Chlorine analyzers,153.61801336440877,0
Chlorine testers,101.436447960264,0
Chock blocks,288.8272061535247,0
Chocolate molds,370.1331050595399,0
Chokers,222.5801435308711,0
Chop saws,336.6703958750479,0
Chrome River Expense,32.0006309894704,1
Cimatron,256.63662676552184,1
Circuit breakers,155.82777444141394,0
Circuit simulation software,35.00975125289333,1
Circuit testers,61.27564066721063,1
Circular knitting machines,325.69823340147707,0
Circular saws,407.4154085122779,0
Circulating pumps,252.39100384218148,0
Cisco,50.87507024732876,1
Cisco AnyConnect,41.62901091324573,1
Cisco Systems CiscoWorks,20.1241501625776,1
Cisco Systems VPN Client,40.88417643821567,1
Cisco Systems WebEx,121.42277840536705,1
Citrix,59.04904970373179,1
Citrix GoToMeeting,115.85869600388982,1
Citrix XenApp,31.021433358534395,1
CityWorks,136.45097579207223,1
Clarizen,109.48222113223788,1
Classification Web,139.7615917437895,1
Claw bars,357.33363274717226,0
Clean energy,80.67969242573572,0
Cleaning,382.64725949397564,0
ClearEDGE,147.7680521722475,1
Client System,128.24132263626691,1
Client assessment software,198.276774354962,1
Client databases,133.59762735512774,1
Client information databases,107.354105429325,1
Client records software,78.48153213989609,1
Climate risk assessments,102.87716129232194,0
Climbing harnesses,440.525930418545,0
Climbing hooks,429.34480886636186,0
Climbing ropes,396.376646644542,0
Climbing structures,223.18722203671845,0
Clinical scales,182.7436587047435,0
Clipper,375.83140275258864,1
Closed circuit television CCTV systems,169.0431260817031,1
Closed circuit television systems,65.92649009962106,1
Cloud Computing,55.389995279121116,1
CloudWorks,130.03319814164777,1
Cloudera,23.518179018290258,1
Cloudera Impala,8.30021672149927,1
Cluen,47.952371989408,1
Cluster systems,124.8577305695777,0
